Name,Price,Reviews,Size,Category,Rating,bath-personal-care,beauty,grocery,healthy-home,pets,sports-nutrition,supplements
"Now Foods, Magnesium Caps, 400 mg, 180 Veg Capsules",17.6,5550.0,0.4,supplements,4.7,0,0,0,0,0,0,1
"Macrolife Naturals, Macro Greens, Superfood, 0.3 oz (9.4 g)",3.12,1132.0,9.4,supplements,4.4,0,0,0,0,0,0,1
"California Gold Nutrition, Ferrochel Iron (Bisglycinate), 36 mg, 90 Veggie Capsules",10.92,6828.0,0.036,supplements,4.7,0,0,0,0,0,0,1
"Youtheory, Collagen, 6,000 mg, 290 Tablets",28.7,9229.0,0.0,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, Double Strength Silymarin, 300 mg, 200 Veg Capsules",29.89,17239.0,0.3,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, MEM Food, Memory and Cognitive Support, Individual Packet, 0.3 oz (8.5 g)",1.56,1839.0,8.5,supplements,4.5,0,0,0,0,0,0,1
"Doctor's Best, Extra Strength Ginkgo, 120 mg, 120 Veggie Caps",14.85,21240.0,0.12,supplements,4.7,0,0,0,0,0,0,1
"Natural Factors, Zinc Citrate, 50 mg, 90 Tablets",6.58,5485.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Inositol Capsules, 500 mg, 100 Veg Capsules",9.25,8278.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Chlorophyll, 100 mg, 90 Veg Capsules",14.81,6584.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"Optimum Nutrition, Gold Standard 100% Whey, Double Rich Chocolate, 5 lbs (2.27 kg)",93.62,19014.0,2270.0,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, GABA with Vitamin B-6, 500 mg, 100 Veg Capsules",12.04,9878.0,0.5,supplements,4.6,0,0,0,0,0,0,1
"KAL, Magnesium Glycinate 400, 200 mg, 90 Tablets",23.39,18972.0,0.2,supplements,4.8,0,0,0,0,0,0,1
"21st Century, Vitamin E, 180 mg (400 IU), 110 Softgels",8.08,5521.0,0.18,supplements,4.7,0,0,0,0,0,0,1
"Solaray, Niacinamide, 500 mg, 100 VegCaps",8.08,886.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Hyaluronic Acid, 50 mg, 60 Veg Capsules",14.81,12011.0,0.05,supplements,4.5,0,0,0,0,0,0,1
"Natural Factors, Zinc Chelate, 25 mg, 90 Tablets",5.84,10464.0,0.025,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Potassium Chloride Powder, 8 oz  (227 g)",8.33,685.0,227.0,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, Sunflower Lecithin, Pure Powder, 1 lb (454 g)",22.22,14413.0,454.0,supplements,4.8,0,0,0,0,0,0,1
"Mariani Dried Fruit, Premium Probiotic Apricots, 6 oz (170 g)",3.92,471.0,170.0,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, GABA with Vitamin B-6, 500 mg, 100 Veg Capsules",12.04,9878.0,0.5,supplements,4.6,0,0,0,0,0,0,1
"California Gold Nutrition, L-Glutamine Powder, AjiPure, Gluten Free, 16 oz (454 g)",24.97,4711.0,454.0,supplements,4.6,0,0,0,0,0,0,1
"California Gold Nutrition, SUPERBA2 Premium Krill Oil, 1000 mg, 60 Softgels",43.7,642.0,1.0,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Niacin, 500 mg, 250 Tablets",18.52,1019.0,0.5,supplements,4.4,0,0,0,0,0,0,1
"Doctor's Best, High Absorption CoQ10 with BioPerine, 100 mg, 120 Softgels",29.1,12271.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, CoQ10, 100 mg, 30 Veggie Softgels",7.8,14800.0,0.1,supplements,4.6,0,0,0,0,0,0,1
"Dr. Mercola, Liposomal Vitamin C, 1,000 mg, 60 Capsules",25.49,6510.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Nature's Way, Zinc Chelate, 30 mg, 100 Capsules",8.08,7524.0,0.03,supplements,4.8,0,0,0,0,0,0,1
"Natural Factors, BlueRich, Super Strength, Blueberry Concentrate, 500 mg, 90 Softgels",13.15,6154.0,0.5,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, 5-HTP, 100 mg, 120 Veg Capsules",26.67,12012.0,0.1,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, Melatonin, 3 mg, 60 Veg Capsules",5.54,15709.0,0.003,supplements,4.5,0,0,0,0,0,0,1
"Now Foods, Certified Organic Spirulina, 500 mg, 500 Tablets",25.19,17427.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Magnesium Caps, 400 mg, 180 Veg Capsules",17.6,5550.0,0.4,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Vitamin C, 500 mg, 250 Tablets",9.25,10262.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"American Health, Ester-C with Citrus Bioflavonoids, 500 mg, 225 Vegetarian Tablets",31.34,8717.0,0.5,supplements,4.8,0,0,0,0,0,0,1
"21st Century, Vitamin C, 500 mg, 110 Tablets",5.2,10262.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"Doctor's Best, Pure Collagen Types 1 and 3 Powder, 7.1 oz (200 g)",15.74,7466.0,200.0,supplements,4.5,0,0,0,0,0,0,1
"California Gold Nutrition, Zinc Picolinate, 50 mg, 120 Veggie Capsules",14.05,2125.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Sunflower Lecithin, Pure Powder, 1 lb (454 g)",22.22,14413.0,454.0,supplements,4.8,0,0,0,0,0,0,1
